Key,SourceString,Comment
Device_FOOD PROCESSOR_Name,Food Processor,
Device_SMALL SENSOR_Name,S-Sensor,
Device_SMALL SENSOR_Description,"",
Device_MEDIUM SENSOR_Name,M-Sensor,
Device_MEDIUM SENSOR_Description,"",
Device_LARGE SENSOR_Name,L-Sensor,
Device_LARGE SENSOR_Description,"",
Device_GENERATOR_Name,Energy Generator-M,
Device_GENERATOR_Description,"Converts a *medium amount* of *Fuel* into *Energy*. Powers *Energy Relays*, *Devices*, and *Buildings*.",
Device_GENERATOR HEAVY_Name,Energy Generator-L,
Device_GENERATOR HEAVY_Description,"Converts a *large amount* of *Fuel* into *Energy*. Powers *Energy Relays*, *Devices*, and *Buildings*.",
Device_SMALL GENERATOR_Name,Energy Generator-S,
Device_SMALL GENERATOR_Description,"Converts a *small amount* of *Fuel* into *Energy*. Powers *Energy Relays*, *Devices*, and *Buildings*.",
Device_CONDUIT_Name,Industrial Outlet,
Device_CONDUIT_Description,"Transfers *Energy* between *Energy Relay Devices* from inside *Buildings* to *Energy Pylon Buildings* outside, and vice versa. Also transfers *Energy* between *Relays* on different floors of the same building.",
Device_POWER RELAY_Name,"Energy Relay-S",
Device_POWER RELAY_Description,"Provides *Energy* from a *Generator* or *Battery* to power *Devices* in an area.",
Device_LARGE POWER RELAY_Name,"Energy Relay-L",
Device_LARGE POWER RELAY_Description,"Provides *Energy* from a *Generator* or *Battery* to power *Devices* in a larger area.",
Device_SMALL BATTERY_Name,Battery-S,
Device_SMALL BATTERY_Description,"Stores a *small amount* of *Energy*, used for emergency backup when power is offline.",
Device_MEDIUM BATTERY_Name,Battery-M,
Device_MEDIUM BATTERY_Description,"Stores a *moderate amount* of *Energy*, used for emergency backup when power is offline.",
Device_LARGE BATTERY_Name,Battery-L,
Device_LARGE BATTERY_Description,"",
Device_SMALL DENSE BATTERY_Name,Dense Battery,
Device_SMALL DENSE BATTERY_Description,"Stores a *moderate amount* of [energy], in a much smaller space. Used to *power Devices*.",
Device_WORKER QUARTERS_Name,Worker Quarters,
Device_MEDICAL POD_Name,Medical Pod,
Device_MEDICAL POD_Description,"*Heals injured crew members* over time.",
Device_LIFE SUPPORT_Name,Life Support,
Device_LIFE SUPPORT_Description,"Consumes [energy] and provides oxygen to *keep three Employees alive*.",
Device_HABITAT POD_Name,"Habitat Pod",
Device_HABITAT POD_Description,"Citizen sleeping quarters.",
Device_BED_Name,Habitat Pod,
Device_BED_Description,"Living space for *2 additional* [citizens].",
Device_SMALL FUEL TANK_Name,Fuel Tank-S,
Device_SMALL FUEL TANK_Description,"Stores a *small amount* of *Fuel*. Provides *Fuel* to *Energy Generators*.",
Device_LARGE FUEL TANK_Name,Fuel Tank-L,
Device_LARGE FUEL TANK_Description,"Stores a *large amount* of *Fuel*. Provides *Fuel* to *Energy Generators*.",
Device_SMALL FUEL FABRICATOR_Name,Fuel Fabricator-S,
Device_SMALL FUEL FABRICATOR_Description,"Converts any *Xethane* in the air into a *small amount* of *Fuel* which can be transferred to *Fuel Tanks*.",
Device_LARGE FUEL FABRICATOR_Name,Fuel Fabricator-L,
Device_LARGE FUEL FABRICATOR_Description,"Converts any *Xethane* in the air into a *large amount* of *Fuel* which can be transferred to *Fuel Tanks*.",
Device_LASER SMALL_Name,S.Laser,
Device_LASER SMALL_Description,"Fast charging laser that hits *two adjacent tiles*.",
Device_LASER MEDIUM_Name,M.Laser,
Device_LASER MEDIUM_Description,"Slow charging laser that hits *four tiles in a line*",
Device_LASER LARGE_Name,L.Laser,
Device_LASER LARGE_Description,"Laser-L",
Device_GATLING SMALL_Name,S.Gatling,
Device_GATLING SMALL_Description,"Gatling-S",
Device_GATLING MEDIUM_Name,M.Gatling,
Device_GATLING MEDIUM_Description,"Gatling-M",
Device_GATLING LARGE_Name,L.Gatling,
Device_GATLING LARGE_Description,"Gatling-L",
Device_HEAVY LASER_Name,Heavy Laser,
Device_DUAL LASER_Name,Dual Laser,
Device_DUAL HEAVY LASER_Name,Dual Heavy Laser,
Device_GATLING LASER_Name,Gatling Laser,
Device_HEAVY GATLING LASER_Name,Heavy Gatling Laser,
Device_EMP PULSE_Name,Emp Pulse,
Device_KINETIC WEAPON_Name,Kinetic Weapon,
Device_GAMMA LASER_Name,Gamma Laser,
Device_ARMORED TURRET_Name,Armored Turret,
Device_BOMB BAY_Name,Bomb Bay,
Device_HARD SHIELD_Name,Hard Shield,
Device_HARD SHIELD_Description,"A renegerating shield that *protects nearby Devices* from damage until it is broken.",
Device_AUTO SHIELD_Name,Automated Shield,
Device_AUTO SHIELD_Description,"A state-of-the-art shield that *protects nearby Devices* and *does not require a Employee* to function.",
Device_DIFFUSE SHIELD_Name,Diffuse Shield,
Device_DIFFUSE SHIELD_Description,"",
Device_FLASH SHIELD_Name,Flash Shield,
Device_ADVANCED SHIELD_Name,Advanced Shield,
Device_REMOTE SHIELD_Name,Remote Shield,
Device_FOCUSED SHIELD_Name,Focused Shield,
Device_DUAL THRUSTERS_Name,Dual Thrusters,
Device_THRUSTER_Name,Thruster,
Device_COCKPIT_Name,Cockpit,
Device_COCKPIT_Description,"Automated piloting system.  Required to launch ship.",
Device_SMALL ENGINE_Name,Engine,
Device_SMALL ENGINE_Description,"Uses [fuel] to propel the ship. More *engines increase movement speed*.",
Device_MEDIUM ENGINE_Name,Engine,
Device_MEDIUM ENGINE_Description,"Uses [fuel] to propel the ship. More *engines increase movement speed*.",
Device_LARGE ENGINE_Name,Large Engine,
Device_LARGE ENGINE_Description,"Uses [fuel] to propel the ship. More *engines increase movement speed*.",
Device_ACOUSTIC SCANNER_Name,Acoustic Scanner,
Device_ACOUSTIC SCANNER_Description,"",
Device_ELECTROMAGNETIC SCANNER_Name,Electromagnetic Scanner,
Device_ELECTROMAGNETIC SCANNER_Description,"",
Device_INFRARED SCANNER_Name,Infrared Scanner,
Device_INFRARED SCANNER_Description,"",
Device_PSYCHIC SCANNER_Name,Psychic Scanner,
Device_XRAY SCANNER_Name,Xray Scanner,
Device_TACHYON SCANNER_Name,Tachyon Scanner,
Device_JAMMER_Name,Jammer,
Device_JAMMER_Description,"",
Device_SCIENCE STATION_Name,Science Station,
Device_SCIENCE STATION_Description,"Employees analyze gathered artifacts.",
Device_WORK STATION_Name,"Monetization Station",
Device_WORK STATION_Description,"Generates *Credits* quickly by hiring idle *Citizens* to watch ads.",
Device_TRAINING STATION_Name,"Conversion Capsule",
Device_TRAINING STATION_Description,"Convert *Citizens* into obedient, low wage *Employees* who work themselves to the bone.",
Device_STAIRS_Name,Stairs,
Device_SHIP PANEL_Name,Ship Panel,
Device_REFINER_Name,"Refiner",
Device_REFINER_Description,"Converts raw unrefined [minerals] into refined [minerals]",
Device_CENTRIFUGE_Name,"Centrifuge",
Device_CENTRIFUGE_Description,"Converts unstable [isotopes] into refined [isotopes], producing *toxic waste*.",
Device_PURIFIER_Name,"Purifier",
Device_PURIFIER_Description,"Processes dangerous *toxic waste*, creating a larger amount of the less-radioactive *waste*.",
Device_ESCAPE_POD_Name,"Crew Pod",
Device_ESCAPE_POD_Description,"Allows Employees to board ships.",
Device_REINFORCEMENT PILLAR_Name,"Reinforcement Pillar",
Device_REINFORCEMENT PILLAR_Description,"Reinforces the structural integrity of the ship.\nAdds [hull:{HullStrength}] to the ship.",
DeviceModule_Bed_StatusLabel,"Bed status:",
DeviceModule_Bed_Slot1,"Bed Slot A:",
DeviceModule_Bed_Slot2,"Bed Slot B:",
DeviceModule_Bed_Unoccupied,"Unoccupied",
DeviceModule_Bed_OccupiedFormat,"Resident {Number}:\nHealth {Health}%\nResistance {Resistance}%",
DeviceModule_WorkStation_StateTitle,"Monetization Station state:",
DeviceModule_Workstation_Unoccupied,"Available",
DeviceModule_Workstation_Occupied,"In Use",
DeviceModule_Workstation_CreditsFormat,"[credits:{Credits}] per second",
DeviceModule_Construction_Resources,"Resources:",
DeviceModule_Construction_Construction,"Resources Required:",
DeviceModule_Storage_Max,"Max storage:",
DeviceModule_TrainingStation_StateTitle,"Conversion Capsule state:",
DeviceModule_TrainingStation_Complete,"Percentage complete",
DeviceModule_TrainingStation_SlotsAvailable,"Slots Available",
DeviceModule_TrainingStation_OpenWorkerWindowButtonLabel,"View Employee Management",
DeviceModule_TrainingStation_TopExplanation,"Open Employee management to convert [citizens] to new [employees].",
DeviceModule_TrainingStation_CurrentState,"Employee in training:",
DeviceDetails_CrewMinMax_Label,"Crew",
DeviceDetails_ElectricityUsed_Label,"[energy] Used",
DeviceDetails_ElectricityProduced_Label,"[energy] Produced",
DeviceDetails_ElectricityStorage_Label,"[energy] Storage",
DeviceDetails_FuelUsed_Label,"[fuel] Used",
DeviceDetails_FuelProduced_Label,"[fuel] Used",
DeviceDetails_FuelStorage_Label,"[fuel] Storage",
CityEditor_BuyTileLabel,"Claim",
CityEditor_BuyTileTooltip,"Spend *Influence* to claim this tile from the *Council*.\n\nAllows for *Salvaging* and *Extracting* from Ruins, and for constructing Buildings.",
CityEditor_BuyTileCannotAffordTooltip,"Not enough [influence] to claim land.",
CityEditor_BuyTileOutsideCommandRadiusTooltip,"Tile is outside your *Command Area*. Build *Command Centers* to extend your Command Area.",
CityEditor_BuyTilePAXLevel2RuinTooltip,"You do not have the required *Research* to *Claim* these *Ruins*.",
CityEditor_BuyTileFreeLabel,"Free",
CityEditor_BuyTileOwned,"Claimed",
CityEditor_BuildingLevel1_Short,"1",
CityEditor_BuildingLevel2_Short,"2",
CityEditor_BuildingLevel3_Short,"3",
CityEditor_BuildingLevel1Connected_Short,"1C",
CityEditor_BuildingLevel2Connected_Short,"2C",
CityEditor_BuildingLevel3Connected_Short,"3C",
CityEditor_BuildingLevel1_Long,"Level 1",
CityEditor_BuildingLevel2_Long,"Level 2",
CityEditor_BuildingLevel3_Long,"Level 3",
CityEditor_BuildingLevel1Connected_Long,"Level 1 Connected",
CityEditor_BuildingLevel2Connected_Long,"Level 2 Connected",
CityEditor_BuildingLevel3Connected_Long,"Level 3 Connected",
CityEditor_ResourcePatchLevel1,"Sparse",
CityEditor_ResourcePatchLevel2,"Mediocre",
CityEditor_ResourcePatchLevel3,"Rich",
CityEditor_ResourcePatchLevel4,"Ultra-rich",
CityEditor_BuildingUpgradeButtonLabel,"Upgrade",
CityEditor_BuildingConnectButtonLabel,"Connect",
CityEditor_BuildingConnectModeTitle,"Choosing Target",
CityEditor_BuildingConnectModeDescription,"Choose another *{BuildingName}* *{Level}* to connect to.",
CityEditor_BuildingUpgradeTooltipTitle,"Upgrade",
CityEditor_BuildingUpgradeTooltipDescription,"Upgrades improve a Building's functionality.",
CityEditor_BuildingUpgradeWarning,"Warning: Upgrading will disable this Building until upgrade is complete.",
CityEditor_BuildingConnectWarning,"Warning: Connecting will disable both Buildings until connection is complete.",
CityEditor_BuildingConnectTooltipTitle,"Connect",
CityEditor_BuildingConnectTooltipDescription,"Combines two adjacent Buildings of the *same Type and Level* for improved efficiency.",
CityEditor_BuildingTabs_InfoLabel,"Info",
CityEditor_BuildingTabs_UpgradesLabel,"Upgrades",
CityEditor_Ownership_Player,"Owned by you, *The Corporation*",
CityEditor_Ownership_Council,"Land owned by *The Council*",
CityEditor_Ownership_Nobody,"Unowned land",
CityEditor_ResearchLabel,"Research",
CityEditor_ResearchInProgressLabel,"Researching",
CityEditor_DismantleLabel,"Dismantle",
CityEditor_RepairBuildingLabel,"Repair",
CityEditor_RepairAllBuildingLabel,"Repair All",
CityEditor_DestroyLabel,"Destroy",
CityEditor_DestroyTooltip,"Destroy the building, *without recovering resources*.",
CityEditor_SalvageLabel,"Salvage",
CityEditor_DestroyInProgressLabel,"Destroying",
CityEditor_SurveyInProgressLabel,"Surveying",
CityEditor_Storage,"Local Storage:",
CityEditor_DismantleReturn,"Resources Returned:",
CityEditor_NoSpaceWarning,"No Space!",
CityEditor_GlobalStorage,"Global Storage:",
CityEditor_TotalCapacity,"Capacity: {Current}/{Max}",
CityEditor_Storage_NoResources,"No Resources",
CityEditor_Storage_WaitingForResources,"Waiting for Resources",
CityEditor_Storage_MaxCapacityFormat,"(Max capacity: {Amount})",
CityEditor_Storage_SpaceUnavailable,"Unavailable",
CityEditor_EnterableBuildingModule_Enter,"Enter",
CityEditor_RuinsModule_Resources,"Resources:",
CityEditor_RuinsModule_Artifacts,"Artifacts:",
CityEditor_RuinsModule_Or,"or",
CityEditor_RuinsModule_SurveyButtonLabel,"Survey",
CityEditor_RuinsModule_SurveyButtonTooltip,"Send an *Employee* to *Survey the Ruin*, and discover what *Resources* and *Artifacts* lie within.",
CityEditor_RuinsModule_SurveyButtonOutOfRangeTooltip,"Cannot *Survey* Ruins outside of *Command Area*. Build *Command Centers* to extend your control.",
CityEditor_RuinsModule_SurveyButtonTechInsufficientTooltip,"Cannot Survey *Ruins* that are *Level 2 or above*",
CityEditor_RuinsModule_SurveyingButtonLabel,"Surveying",
CityEditor_RuinsModule_SurveyingButtonTooltip,"Survey in progress...",
CityEditor_RuinsModule_SurveyedButtonLabel,"Surveyed",
CityEditor_RuinsModule_SurveyedButtonTooltip,"Survey complete, the contents of the *Ruin* have been revealed.",
CityEditor_RuinsModule_SurveyToReveal,"_Contents Unknown_",
CityEditor_RuinsModule_DismantleRuinsTooltipTitle,"Salvage",
CityEditor_RuinsModule_DismantleRuinsTooltipDescription,"Assign an [employee] to salvage the contents of the Ruin, acquiring its *Resources*.",
CityEditor_RuinsModule_StudyRuinsTooltipTitle,"Extract",
CityEditor_RuinsModule_StudyRuinsTooltipDescription,"Assign an [employee] to *Extract Artifacts* from the Ruin, using its parts for *Research*.",
CityEditor_RuinsModule_Unknown,"Unknown",
CityEditor_RuinsModule_InProgress,"In progress...",
CityEditor_RuinsModule_DissectTitle,"Extract",
CityEditor_RuinsModule_DissectInProgress,"Extracting...",
CityEditor_RuinsModule_DissectDescription,"Artifacts",
CityEditor_RuinsModule_DissectResultsFormat,"{Number} {Number}|plural(one=Artifact,other=Artifacts)",
CityEditor_RuinsModule_DissectNoTech,"(No Artifacts)",
CityEditor_RuinsModule_SalvageTitle,"Salvage",
CityEditor_SalvageInProgressLabel,"Salvaging...",
CityEditor_RuinsModule_SalvageDescription,"Resources",
CityEditor_RuinsModule_SalvageNoResources,"(No Resources)",
CityEditor_RuinsModule_Requirements,"Requirements:",
CityEditor_RuinsModule_OwnTileRequirement,"Must claim the land.",
CityEditor_RuinsModule_DestroyTitle,"Destroy",
CityEditor_RuinsModule_DestroySubtitle,"Clear space",
CityEditor_RuinsModule_DestroyDescription,"Gives no Resources or Artifacts",
CityEditor_RuinsModule_DestroyTooltipTitle,"Destroy Ruins",
CityEditor_RuinsModule_DestroyTooltipDescription,"Quickly destroy the Ruins, at the cost of *not gaining any Resources*.",
CityEditor_RuinsModule_Level2LockedForPAX,"*Level 2 Ruins* are locked in *Demo Build*.",
CityEditor_ConstructionModule_ConstructionTitle,"Under Construction",
CityEditor_ConstructionModule_ConstructionDescription,"Constructing a new *{BuildingName}.",
CityEditor_ConstructionModule_Stage_BringingResources,"Bringing required resources...",
CityEditor_ConstructionModule_Stage_CleaningExcessResources,"Cleaning excess resources...",
CityEditor_ConstructionModule_Stage_BringingAndCleaning,"Bringing required resources and cleaning excess resources.",
CityEditor_ConstructionModule_Stage_Constructing,"Fabricating building from resources...",
CityEditor_ConstructionModule_Stage_Destroying,"Destroying building...",
CityEditor_ConstructionModule_Stage_Salvaging,"Recovering usable resources",
CityEditor_ConstructionModule_UpgradeTitle,"Upgrading Building",
CityEditor_ConstructionModule_UpgradeDescription,"Upgrading *{BuildingName}* from *{OldLevel}* to *{NewLevel}.",
CityEditor_ConstructionModule_ConnectTitle,"Connecting Building",
CityEditor_ConstructionModule_ConnectDescription,"Connecting two *{BuildingName}*.",
CityEditor_ConstructionModule_DestroyTitle,"Destroying Building",
CityEditor_ConstructionModule_DestroyDescription,"Destroy *{BuildingName}* and lose resources.",
CityEditor_ConstructionModule_DismantleTitle,"Dismantling *{BuildingName}*.",
CityEditor_ConstructionModule_DismantleDescription,"Dismantle *{BuildingName}* and recover resources.",
CityEditor_ConstructionModule_SalvageTitle,"Salvaging *{BuildingName}*.",
CityEditor_ConstructionModule_SalvageDescription,"Salvage *{BuildingName}* and recover resources.",
CityEditor_ConstructionModule_GetResourcesStage,"Get Resources",
CityEditor_ConstructionModule_ConstructionStage,"Construction",
CityEditor_ConstructionModule_ConstructionWorkers,"Employees:",
CityEditor_ConstructionModule_ConstructionCompletion,"Complete:",
CityEditor_SpaceportModule_ShowMigrantLabel,"View Migration Status",
CityEditor_CouncilModule_CouncilButtonLabel,"Contact The Council",
CityEditor_ResourceNodeModule_MineralsDescription,"Target this node by building a *Mine* to begin harvesting infinite *Minerals*.",
CityEditor_ResourceNodeModule_IsotopesDescription,"Target this node by building a *Mine* to begin harvesting infinite *Isotopes*.",
CityEditor_ResourceNodeModule_Locked,"Locked in *Demo Build*",
CityEditor_PowerPlantModule_Description,"Research *Power Management* to control Energy within your City.",
CityEditor_OfficeModule_Population,"Citizens working here:",
CityEditor_OfficeModule_CreditsTickRate,"Credits per second:",
CityEditor_ResidentialModule_Residents,"Residents:",
CityEditor_ResidentialModule_Capacity,"Living space provided:",
CityEditor_MineModule_CurrentlyMining,"Currently Mining:",
CityEditor_MineModule_Job,"Mine Employees",
CityEditor_MineModule_ChooseTargetButtonLabel,"Set Target",
CityEditor_MineModule_ChooseTargetsButtonLabel,"Set Targets",
CityEditor_MineModule_BuyTruckLabel,"Buy",
CityEditor_MineModule_MiningRateLabel,"Mining rate",
CityEditor_MineModule_MiningRateSuffix,"per minute",
CityEditor_WorkerWindowButton,"Allocate",
CityEditor_ConvertWorkerButton,"Convert 1",
CityEditor_SmokestackModule_BurnRate,"Burning rate",
CityEditor_SmokestackModule_BurnRateSuffix,"per minute",
CityEditor_ResourcePatchModule_Remaining,"Remaining:",
CityEditor_ResourcePatchModule_UnownedWarning,"(Claim tile to start resource acquisition)",
CityEditor_InWorldIcons_Warnings,"Warnings",
CityEditor_InWorldIcons_Disabled,"Disabled",
CityEditor_InWorldIcons_ManualyDisabled,"Manually Disabled",
CityEditor_InWorldIcons_NoPower,"No Energy",
CityEditor_InWorldIcons_NoFuel,"No Fuel",
CityEditor_InWorldIcons_NoWorkers,"No Employees",
CityEditor_InWorldIcons_NoPopulation,"No Citizens",
CityEditor_InWorldIcons_PartialWorkers,"Partial Employees",
CityEditor_InWorldIcons_PartialWaste,"Waste High",
CityEditor_InWorldIcons_FullOfWaste,"Waste Full",
CityEditor_InWorldIcons_FullStorage,"Storage Full",
CityEditor_InWorldIcons_NoCleanupSpace,"Nowhere to store blocking resources",
CityEditor_InWorldIcons_Damaged,"Damaged",
CityEditor_InWorldIcons_DrainingBattery,"Draining Batteries",
CityEditor_InWorldIcons_DrainingFuelTank,"Draining Fuel Tanks",
CityEditor_InWorldIcons_OutsideCommand,"Outside Command Range",
CityEditor_InWorldIcons_NoResources,"No Nearby Resources",
CityEditor_InWorldIcons_NoTransportHubConnected,"No Connected *Transport Hub*",
CityEditor_InWorldIcons_NoTransportHubInRange,"No *Transport Hub* in Range",
CityEditor_InWorldIcons_ShipReady,"Ship Ready to Launch",
CityEditorBuilding_MainTitle,"City Construction",
CityEditorBuilding_ConfirmResearch,"Confirm?",
CityEditorBuildingTooltip_ConstructionCost,"Resources Required:",
CityEditorBuildingCategory_Ruins_Name,"Ruins",
CityEditorBuildingCategory_Ruins_Description,"Ruins-related actions.",
CityEditorBuildingCategory_logistics_Name,"Logistics",
CityEditorBuildingCategory_logistics_Description,"Buildings that improve resource flow in your City.",
CityEditorBuildingCategory_power_Name,"Power",
CityEditorBuildingCategory_power_Description,"Buildings that provide power to your City.",
CityEditorBuildingCategory_production_Name,"Production",
CityEditorBuildingCategory_production_Description,"Buildings to improve the economic output of your Corporation.",
CityEditorBuildingCategory_people_Name,"Population",
CityEditorBuildingCategory_people_Description,"Buildings to improve your [citizens] and [employees].",
CityEditorBuildingCategory_command_Name,"Military",
CityEditorBuildingCategory_command_Description,"Buildings relating to combat and technology",
CityEditorBuildingCategory_council_Name,"Council",
CityEditorBuildingCategory_council_Description,"Buildings to improve your standing with the Council.",
CityEditor_BuildingTooltip_OtherRequirements,"Other Requirements:",
CityEditor_BuildingTooltip_PAXFlakCannonPower,"Must own *Energy Generator*.",
CityEditor_LockedForPAX,"Coming in *Early Access*.",
CityEditor_PAXXMLLockReason_MINE,"Must research *Mining Operations*.\n\n(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_MONUMENT,"Must improve standing with the *Council*.\n\n(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_STORE,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_CLUB,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_HOSPITAL,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_PARK,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_FARM,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_ROAD,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_TRANSPORT HUB,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_SHIPYARD,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_RESEARCH CENTER,"(Not possible in Demo Build)",
CityEditor_PAXXMLLockReason_PLAYERCOUNCIL,"(Not possible in Demo Build)",
CityEditor_Building_TogglePower_Label,"Enabled",
CityEditor_Building_TogglePower_DisabledLabel,"Disabled",
CityEditor_Building_TogglePower_Tooltip,"Enable or disable this Building.",
CityEditor_Device_TogglePower_Tooltip,"Enable or disable this Device.",
CityEditor_ShipPopup_InCombat,"Ship is in combat!",
CityEditor_ShipPopup_EnterShipButtonLabel,"Enter Ship",
CityEditor_ShipPopup_EnterShipInCombatButtonLabel,"View Ship Combat",
CityEditor_ShipPopup_MoveShipOrder,"RMB to move",
CityEditor_ShipPopup_DestroyButton,"Self-destruct",
CityEditor_ShipPopup_DestroyButtonTooltip,"Destroy this ship.",
CityEditor_ShipPopup_RepairButtonTooltip,"Repair ship (Requires Credits, Out of Combat only).",
CityEditor_BuildingTooltip_GeneratesWasteWarning,"Generates waste.",
CityEditor_BuildingTooltip_GeneratesWastePerFormatWarning,"Generates {Amount} waste per resident every {Time}.",
CityEditor_BuildingTooltip_GeneratesPollutionWarning,"Generates pollution.",
CityEditor_BuildingTooltip_CanConnect,"Can connect.",
Building_EMPTY_Name,"{Count}|plural(one=Empty Plot,other=Empty Plots)",
Building_EMPTY_Description,"This terrain is cleared of all debris, making it *ideal for construction*.",
Building_BUILDABLE_Name,"Empty Plot",
Building_BUILDABLE_Description,"This terrain is cleared of all debris, making it *ideal for construction*.",
Building_GROUND_Name,"{Count}|plural(one=Empty Plot,other=Empty Plots)",
Building_GROUND_Description,"An empty space ready for construction.",
Building_POWER PLANT_Name,"{Count}|plural(one=Energy Plant,other=Energy Plants)",
Building_POWER PLANT_Description,"Converts [fuel] into [energy] to be used by Energy Pylons.",
Building_POWER PLANT_Flavor,"_Using the ancient technology of *-redacted-*, Energy Plants produce vast amounts of Energy. This unfortunately causes *-redacted-*_.",
Building_PYLON_Name,"{Count}|plural(one=Energy Pylon,other=Energy Pylons)",
Building_PYLON_Description,"Provides power to Buildings by relaying [energy] from Energy Plants. Cannot Connect.",
Building_AIRFILTER_Name,"{Count}|plural(one=Air Purifier,other=Air Purifiers)",
Building_AIRFILTER_Description,"Removes harmful *Pollution*, as well as *Xethane*, from the air to create a more breathable environment.",
Building_MINE_Name,"{Count}|plural(one=Mine,other=Mines)",
Building_MINE_Description,"Attaches to *Resource Nodes* or *Resource Patches* to mine resources.",
Building_MINE_Flavor,"_Those new to Titan can often find work in the *warm, cozy* mining tunnels._",
Building_RESOURCE_PATCH_Name,"{Count}|plural(one=Resource Patch,other=Resource Patches)",
Building_RESOURCE_PATCH_Description,"Contains [minerals] or [isotopes].",
Building_RESOURCE_PATCH_Flavor,"_Minerals are tasty_",
Building_FACTORY_Name,"{Count}|plural(one=Factory,other=Factories)",
Building_FACTORY_Description,"Ample space for *Devices*. *Can be connected* for additional floorspace.",
Building_FACTORY_Flavor,"_Factories are where Titan's vast underground Resources are turned into *useful Devices*._",
Building_SMOKESTACK_Name,"{Count}|plural(one=Smokestack,other=Smokestacks)",
Building_SMOKESTACK_Description,"Burns through *Waste* quickly, releasing gases that may harm unprotected *Citizens*.",
Building_SMOKESTACK_Flavor,"_Employee productivity is increased by extracting toxic gases and *safely transporting them to the environment*._",
Building_SHIPYARD_Name,"{Count}|plural(one=Shipyard,other=Shipyards)",
Building_SHIPYARD_Description,"Allows for the design and production of flying *combat vessels*.",
Building_SHIPYARD_Flavor,"_Ships originally designed for *transporting ore* proved just as effective at *delivering death* to corporate rivals._",
Building_SHIPYARD_EmptyPlot_Name,"{Count}|plural(one=Vacant Lot,other=Vacant Lots)",
Building_SHIPYARD_EmptyPlot_Description,"An empty space *ready for construction*.",
Building_SHIPYARD_EmptyPlot_Flavor,"_*Land* is the *one commodity that cannot be manufactured* or imported to Titan._",
Building_FARM_Name,"{Count}|plural(one=Farm,other=Farms)",
Building_FARM_Description,"Grows *food* to feed [citizens] that insist on eating.",
Building_FARM_Flavor,"_Until an alternative is discovered, Citizens require food up to *three times* a day._",
