Key,SourceString,Comment
Device_CONDUIT_Description,"Trasferisce Energia tra i Dispositivi Relè d'Energia da dentro gli Edifici agli Edifici Pilone d'Energia fuori, e viceversa. Inoltre trasferisce Energia tra i Relè su piani differenti dello stesso Edificio.",
Device_POWER RELAY_Name,Relè d'Energia-S,
Device_POWER RELAY_Description,Fornisce *Energia* da un *Generatore* o *Batteria* per alimentare i *Dispositivi* in una zona.,
Device_LARGE POWER RELAY_Name,Relè d'Energia-L,
Device_LARGE POWER RELAY_Description,Fornisce *Energia* da un *Generatore* o *Batteria* per alimentare i *Dispositivi* in una zona più grande.,
Device_SMALL BATTERY_Name,Batteria-S,
Device_SMALL BATTERY_Description,"Immagazzina una *piccola quantità* di *Energia*, usata come fonte di emergenza quando la produzione è offline.",
Device_MEDIUM BATTERY_Name,Batteria-M,
Device_MEDIUM BATTERY_Description,"Immagazzina una *quantità moderata* di *Energia*, usata come fonte di emergenza quando la produzione è offline.",
Device_LARGE BATTERY_Name,Batteria-L,
Device_LARGE BATTERY_Description,,
Device_SMALL DENSE BATTERY_Name,Batteria densa,
Device_SMALL DENSE BATTERY_Description,"Immagazzina una *quantità moderata* di [energy], in uno spazio più piccolo. Usata per *alimentare Dispositivi*.",
Device_WORKER QUARTERS_Name,Alloggi lavoratori,
Device_MEDICAL POD_Name,Unità medicale,
Device_MEDICAL POD_Description,*Cura i membri dell'equipaggio feriti* nel tempo.,
Device_LIFE SUPPORT_Name,Life Support,
Device_LIFE SUPPORT_Description,Consumes [energy] and provides oxygen to *keep three Impiegati alive*.,
Device_HABITAT POD_Name,Unità abitativa,
Device_HABITAT POD_Description,Alloggi dove i cittadini dormono.,
Device_BED_Name,Unità abitativa,
Device_BED_Description,Spazio abitativo per *altri 2* [citizens].,
Device_SMALL FUEL TANK_Name,Serbatoio di Carburante-S,
Device_SMALL FUEL TANK_Description,Immagazzina una *piccola quantità* di *Carburante*. Fornisce *Carburante* ai *Generatori d'Energia*.,
Device_LARGE FUEL TANK_Name,Serbatoio di Carburante-L,
Device_LARGE FUEL TANK_Description,Immagazzina una *grande quantità* di *Carburante*. Fornisce *Carburante* ai *Generatori d'Energia*.,
Device_SMALL FUEL FABRICATOR_Name,Erogatore Carburatore-S,
Device_SMALL FUEL FABRICATOR_Description,Genera una *piccola quantità* di *Carburante* che è poi trasferita ai *Serbatoi di Carburante*.,
Device_LARGE FUEL FABRICATOR_Name,Erogatore Carburatore-L,
Device_LARGE FUEL FABRICATOR_Description,Genera una *grande quantità* di *Carburante* che è poi trasferita ai *Serbatoi di Carburante*.,
Device_SMALL SINGLE LASER_Name,Laser-S,
Device_SMALL SINGLE LASER_Description,,
Device_MEDIUM SINGLE LASER_Name,Precision Laser,
Device_MEDIUM SINGLE LASER_Description,,
Device_LARGE SINGLE LASER_Name,Single Laser-L,
Device_LARGE SINGLE LASER_Description,,
Device_RANDOM LASER_Name,Laser Cannon v4,
Device_RANDOM LASER_Description,Slow charging laser that hits *four caselle in a line*.,
Device_PRECISION LASER_Name,Laser Cannon v2,
Device_PRECISION LASER_Description,Fast charging laser that hits *two adjacent caselle*.,
Device_HEAVY LASER_Name,Heavy Laser,
Device_DUAL LASER_Name,Dual Laser,
Device_DUAL HEAVY LASER_Name,Dual Heavy Laser,
Device_GATLING LASER_Name,Gatling Laser,
Device_HEAVY GATLING LASER_Name,Heavy Gatling Laser,
Device_EMP PULSE_Name,Emp Pulse,
Device_KINETIC WEAPON_Name,Kinetic Weapon,
Device_GAMMA LASER_Name,Gamma Laser,
Device_ARMORED TURRET_Name,Armored Turret,
Device_BOMB BAY_Name,Bomb Bay,
Device_HARD SHIELD_Name,Hard Shield,
Device_HARD SHIELD_Description,A renegerating shield that *protects nearby Dispositivi* from damage until it is broken.,
Device_AUTO SHIELD_Name,Automated Shield,
Device_AUTO SHIELD_Description,A state-of-the-art shield that *protects nearby Dispositivi* and *does not require a Impiegato* to function.,
Device_DIFFUSE SHIELD_Name,Diffuse Shield,
Device_DIFFUSE SHIELD_Description,,
Device_FLASH SHIELD_Name,Flash Shield,
Device_ADVANCED SHIELD_Name,Advanced Shield,
Device_REMOTE SHIELD_Name,Remote Shield,
Device_FOCUSED SHIELD_Name,Focused Shield,
Device_DUAL THRUSTERS_Name,Dual Thrusters,
Device_THRUSTER_Name,Thruster,
Device_COCKPIT_Name,Cockpit,
Device_COCKPIT_Description,Automated piloting system.  Required to launch ship.,
Device_SMALL ENGINE_Name,Engine,
Device_SMALL ENGINE_Description,Uses [fuel] to propel the ship. More *engines increase movement speed*.,
Device_MEDIUM ENGINE_Name,Engine,
Device_MEDIUM ENGINE_Description,Uses [fuel] to propel the ship. More *engines increase movement speed*.,
Device_LARGE ENGINE_Name,Large Engine,
Device_LARGE ENGINE_Description,Uses [fuel] to propel the ship. More *engines increase movement speed*.,
Device_ACOUSTIC SCANNER_Name,Acoustic Scanner,
Device_ACOUSTIC SCANNER_Description,,
Device_ELECTROMAGNETIC SCANNER_Name,Electromagnetic Scanner,
Device_ELECTROMAGNETIC SCANNER_Description,,
Device_INFRARED SCANNER_Name,Infrared Scanner,
Device_INFRARED SCANNER_Description,,
Device_PSYCHIC SCANNER_Name,Psychic Scanner,
Device_XRAY SCANNER_Name,Xray Scanner,
Device_TACHYON SCANNER_Name,Tachyon Scanner,
Device_JAMMER_Name,Jammer,
Device_JAMMER_Description,,
Device_SCIENCE STATION_Name,Stazione scientifica,
Device_SCIENCE STATION_Description,Impiegati analizzano gli Artefatti recuperati.,
Device_WORK STATION_Name,Postazione di monetizzazione,
Device_WORK STATION_Description,Genera velocemente *Crediti* assumendo dei *Cittadini* liberi per visualizzare le pubblicità.,
Device_TRAINING STATION_Name,Capsula di conversione,
Device_TRAINING STATION_Description,"Converte i *Cittadini* in *Impiegati* obbedienti e poco costosi, che lavorano instancabilmente.",
Device_STAIRS_Name,Scale,
Device_SHIP PANEL_Name,Pannello Nave,
Device_REFINER_Name,Raffinatore,
Device_REFINER_Description,Converte i [minerals] non raffinati in [minerals] raffinati.,
Device_CENTRIFUGE_Name,Centrifuga,
Device_CENTRIFUGE_Description,"Converte gli [isotopes] instabili in [isotopes] raffinati, producendo *rifiuti tossici*.",
Device_PURIFIER_Name,Purificatore,
Device_PURIFIER_Description,"Lavora i pericolosi *rifiuti tossici*, creando una grande quantità di *rifiuti* molto meno radioattivi.",
Device_ESCAPE_POD_Name,Unità equipaggio,
Device_ESCAPE_POD_Description,Permette agli Impiegati di salire sulle navi.,
Device_REINFORCEMENT PILLAR_Name,Reinforcement Pillar,
Device_REINFORCEMENT PILLAR_Description,Reinforces the structural integrity of the ship.\nAdds [hull:{HullStrength}] to the ship.,
DeviceModule_Bed_StatusLabel,Stato letto:,
DeviceModule_Bed_Slot1,Spazio letto A:,
DeviceModule_Bed_Slot2,Spazio letto B:,
DeviceModule_Bed_Unoccupied,Non occupato,
DeviceModule_Bed_OccupiedFormat,Residente {Number}:\nSalute {Health}%\nResistenza {Resistance}%,
DeviceModule_WorkStation_StateTitle,Stato Postazione di monetizzazione:,
DeviceModule_Workstation_Unoccupied,Disponibile,
DeviceModule_Workstation_Occupied,In uso,
DeviceModule_Workstation_CreditsFormat,[credits:{Credits}] al secondo,
DeviceModule_Construction_Resources,Risorse:,
DeviceModule_Construction_Construction,Risorse richieste:,
DeviceModule_Storage_Max,Stoccaggio massimo:,
DeviceModule_TrainingStation_StateTitle,Stato Capsula di conversione:,
DeviceModule_TrainingStation_Complete,Percentuale completamento,
DeviceModule_TrainingStation_SlotsAvailable,Spazi disponibili,
DeviceModule_TrainingStation_OpenWorkerWindowButtonLabel,Visualizza Gestione Impiegati,
DeviceModule_TrainingStation_TopExplanation,Apri Gestione Impiegati per convertire [citizens] a nuovi [employees].,
DeviceModule_TrainingStation_CurrentState,Impiegato in addestramento:,
DeviceDetails_CrewMinMax_Label,Equipaggio,
DeviceDetails_ElectricityUsed_Label,[energy] usata,
DeviceDetails_ElectricityProduced_Label,[energy] prodotta,
DeviceDetails_ElectricityStorage_Label,[energy] stoccata,
DeviceDetails_FuelUsed_Label,[fuel] usato,
DeviceDetails_FuelProduced_Label,[fuel] usato,
DeviceDetails_FuelStorage_Label,[fuel] stoccato,
CityEditor_BuyTileLabel,Reclama,
CityEditor_BuyTileTooltip,"Spendi *Influenza* per reclamare questa casella dal *Consiglio*.\n\nPermette di *Recuperare* e *Riesumare* dalle Rovine, e per costruire Edifici.",
CityEditor_BuyTileCannotAffordTooltip,[influence] insufficiente per reclamare il terreno.,
CityEditor_BuyTileOutsideCommandRadiusTooltip,La casella è fuori dalla tua *Zona di comando*. Costruisci *Centri di comando* per estendere la tua Zona di comando.,
CityEditor_BuyTilePAXLevel2RuinTooltip,Non hai la *Ricerca* necessaria per *Reclamare* queste *Rovine*.,
CityEditor_BuyTileFreeLabel,Gratis,
CityEditor_BuyTileOwned,Reclamata,
CityEditor_BuildingLevel1_Short,1,
CityEditor_BuildingLevel2_Short,2,
CityEditor_BuildingLevel3_Short,3,
CityEditor_BuildingLevel1Connected_Short,1C,
CityEditor_BuildingLevel2Connected_Short,2C,
CityEditor_BuildingLevel3Connected_Short,3C,
CityEditor_BuildingLevel1_Long,Livello 1,
CityEditor_BuildingLevel2_Long,Livello 2,
CityEditor_BuildingLevel3_Long,Livello 3,
CityEditor_BuildingLevel1Connected_Long,Livello 1 Connesso,
CityEditor_BuildingLevel2Connected_Long,Livello 2 Connesso,
CityEditor_BuildingLevel3Connected_Long,Livello 3 Connesso,
CityEditor_ResourcePatchLevel1,Rado,
CityEditor_ResourcePatchLevel2,Mediocre,
CityEditor_ResourcePatchLevel3,Ricco,
CityEditor_ResourcePatchLevel4,Ultra ricco,
CityEditor_BuildingUpgradeButtonLabel,Migliora,
CityEditor_BuildingConnectButtonLabel,Connetti,
CityEditor_BuildingConnectModeTitle,Sceglie il bersaglio,
CityEditor_BuildingConnectModeDescription,Scegli un altro Edificio *{BuildingName}* *{Level}* da connettere.,
CityEditor_BuildingUpgradeTooltipTitle,Migliora,
CityEditor_BuildingUpgradeTooltipDescription,I miglioramenti incrementano le funzionalità di un Edificio.,
CityEditor_BuildingUpgradeWarning,Attenzione: migliorandolo disattiverai questo Edificio finché il miglioramento non sarà completo.,
CityEditor_BuildingConnectWarning,Attenzione: connettendolo disattiverai entrambi gli Edifici finché la connessione non sarà completa.,
CityEditor_BuildingConnectTooltipTitle,Connetti,
CityEditor_BuildingConnectTooltipDescription,Combina due Edifici adiacenti dello *stesso Tipo e Livello* per incrementare l'efficienza.,
CityEditor_BuildingTabs_InfoLabel,Info,
CityEditor_BuildingTabs_UpgradesLabel,Miglioramenti,
CityEditor_Ownership_Player,"Posseduta da te, *La Corporazione*",
CityEditor_Ownership_Council,Terreno posseduto dal *Consiglio*,
CityEditor_Ownership_Nobody,Terreno non posseduto,
CityEditor_ResearchLabel,Ricerca,
CityEditor_ResearchInProgressLabel,In Ricerca,
CityEditor_DismantleLabel,Recupera,
CityEditor_DismantleInProgressLabel,In Recupero,
CityEditor_DismantleBuildingLabel,Smantella,
CityEditor_DismantleBuildingInProgressLabel,In Smantellamento,
CityEditor_RepairBuildingLabel,Ripara,
CityEditor_RepairAllBuildingLabel,Ripara tutto,
CityEditor_DestroyLabel,Distruggi,
CityEditor_DestroyInProgressLabel,In distruzione,
CityEditor_SurveyInProgressLabel,In Ispezione,
CityEditor_Storage,Stoccaggio locale:,
CityEditor_DismantleReturn,Risorse riportate:,
CityEditor_NoSpaceWarning,Non c'è spazio!,
CityEditor_GlobalStorage,Stoccaggio globale:,
CityEditor_TotalCapacity,Capacità: {Current}/{Max},
CityEditor_Storage_NoResources,Nessuna Risorsa,
CityEditor_Storage_WaitingForResources,Aspetta le Risorse,
CityEditor_Storage_MaxCapacityFormat,(Capacità massima: {Amount}),
CityEditor_EnterableBuildingModule_Enter,Entra,
CityEditor_RuinsModule_Resources,Risorse:,
CityEditor_RuinsModule_Artifacts,Artefatti:,
CityEditor_RuinsModule_Or,o,
CityEditor_RuinsModule_SurveyButtonLabel,Ispeziona,
CityEditor_RuinsModule_SurveyButtonTooltip,"Manda un *Impiegato* per *Ispezionare la Rovina*, e scoprire quali *Risorse* e *Artefatti* sono al suo interno.",
CityEditor_RuinsModule_SurveyButtonOutOfRangeTooltip,Impossibile *Ispezionare* Rovine fuori dalla *Zona di comando*. Costruisci *Centri di comando* per estendere il tuo controllo.,
CityEditor_RuinsModule_SurveyButtonTechInsufficientTooltip,Impossibile Ispezionare *Rovine* che sono di *Livello 2 o superiore*,
CityEditor_RuinsModule_SurveyingButtonLabel,In Ispezione,
CityEditor_RuinsModule_SurveyingButtonTooltip,Ispezionare in corso...,
CityEditor_RuinsModule_SurveyedButtonLabel,Ispezionato,
CityEditor_RuinsModule_SurveyedButtonTooltip,"Ispezione completata, i contenuti della *Rovina* sono stati rivelati.",
CityEditor_RuinsModule_SurveyToReveal,_Contenuti sconosciuti_,
CityEditor_RuinsModule_DismantleRuinsTooltipTitle,Recupera,
CityEditor_RuinsModule_DismantleRuinsTooltipDescription,"Assegna un [employee] per recuperare i contenuti della Rovina, acquisendo le sue *Risorse*.",
CityEditor_RuinsModule_StudyRuinsTooltipTitle,Riesuma,
CityEditor_RuinsModule_StudyRuinsTooltipDescription,"Assegna un [employee] per *Prelevare Artefatti* dalla Rovina, usando le sue parti per la *Ricerca*.",
CityEditor_RuinsModule_Unknown,Sconosciuto,
CityEditor_RuinsModule_InProgress,In corso...,
CityEditor_RuinsModule_DissectTitle,Riesuma,
CityEditor_RuinsModule_DissectInProgress,Riesumazione...,
CityEditor_RuinsModule_DissectDescription,Artefatti,
CityEditor_RuinsModule_DissectResultsFormat,"{Number} {Number}|plural(one=Artefatto,other=Artefatti)",
CityEditor_RuinsModule_DissectNoTech,(Nessun Artefatto),
CityEditor_RuinsModule_SalvageTitle,Recupera,
CityEditor_RuinsModule_SalvageDescription,Risorse,
CityEditor_RuinsModule_SalvageNoResources,(Nessuna Risorsa),
CityEditor_RuinsModule_Requirements,Requisiti:,
CityEditor_RuinsModule_OwnTileRequirement,Devi reclamare il terreno.,
CityEditor_RuinsModule_DestroyTitle,Distruggi,
CityEditor_RuinsModule_DestroySubtitle,Libera spazio,
CityEditor_RuinsModule_DestroyDescription,Non dà Risorse né Artefatti,
CityEditor_RuinsModule_DestroyTooltipTitle,Distruggi Rovine,
CityEditor_RuinsModule_DestroyTooltipDescription,"Distrugge velocemente le Rovine, però *non guadagnando alcuna Risorsa*.",
CityEditor_RuinsModule_Level2LockedForPAX,Le *Rovine di Livello 2* sono bloccate nella *Demo Build*.,
CityEditor_ConstructionModule_ConstructionTitle,In costruzione,
CityEditor_ConstructionModule_ConstructionDescription,Costruisce un nuovo Edificio *{BuildingName}.,
CityEditor_ConstructionModule_UpgradeTitle,Migliora Edificio,
CityEditor_ConstructionModule_UpgradeDescription,Migliora *{BuildingName}* da *{OldLevel}* a *{NewLevel}.,
CityEditor_ConstructionModule_ConnectTitle,Connette Edificio,
CityEditor_ConstructionModule_ConnectDescription,Connette due *{BuildingName}*.,
CityEditor_ConstructionModule_DestroyTitle,In demolizione,
CityEditor_ConstructionModule_DestroyDescription,Demolisce *{BuildingName}*.,
CityEditor_ConstructionModule_GetResourcesStage,Ottieni Risorse,
CityEditor_ConstructionModule_ConstructionStage,Costruzione,
CityEditor_ConstructionModule_ConstructionWorkers,Impiegati:,
CityEditor_ConstructionModule_ConstructionCompletion,Completate:,
CityEditor_SpaceportModule_ShowMigrantLabel,Vedi stato migrazione,
CityEditor_CouncilModule_CouncilButtonLabel,Contatta il Consiglio,
CityEditor_ResourceNodeModule_MineralsDescription,Utilizza questo nodo costruendo una *Miniera* per iniziare a raccogliere *Minerali* infiniti.,
CityEditor_ResourceNodeModule_IsotopesDescription,Utilizza questo nodo costruendo una *Miniera* per iniziare a raccogliere *Isotopi* infiniti.,
CityEditor_ResourceNodeModule_Locked,Bloccato nella *Demo Build*,
CityEditor_PowerPlantModule_Description,Ricerca *Gestione alimentazione* per controllare l'Energia nella tua Città.,
CityEditor_OfficeModule_Population,Cittadini che lavorano qui:,
CityEditor_OfficeModule_CreditsTickRate,Crediti al secondo:,
CityEditor_ResidentialModule_Residents,Residenti:,
CityEditor_ResidentialModule_Capacity,Spazio abitativo fornito:,
CityEditor_MineModule_CurrentlyMining,Estrae al momento:,
CityEditor_MineModule_Job,Impiegati in miniera,
CityEditor_MineModule_ChooseTargetButtonLabel,Seleziona bersaglio,
CityEditor_MineModule_ChooseTargetsButtonLabel,Seleziona bersagli,
CityEditor_MineModule_BuyTruckLabel,Compra,
CityEditor_MineModule_MiningRateLabel,Tasso estrazione,
CityEditor_MineModule_MiningRateSuffix,al minuto,
CityEditor_WorkerWindowButton,Alloca,
CityEditor_ConvertWorkerButton,Converti 1,
CityEditor_SmokestackModule_BurnRate,Tasso incenerimento,
CityEditor_SmokestackModule_BurnRateSuffix,al minuto,
CityEditor_ResourcePatchModule_Remaining,Rimasti:,
CityEditor_ResourcePatchModule_UnownedWarning,(Reclama una casella per iniziare ad acquisire risorse),
CityEditor_InWorldIcons_Warnings,Avvertimenti,
CityEditor_InWorldIcons_Disabled,Disattivato,
CityEditor_InWorldIcons_ManualyDisabled,Disattivato manualmente,
CityEditor_InWorldIcons_NoPower,Senza Energia,
CityEditor_InWorldIcons_NoFuel,Senza Carburante,
CityEditor_InWorldIcons_NoWorkers,Senza Impiegati,
CityEditor_InWorldIcons_NoPopulation,Senza Cittadini,
CityEditor_InWorldIcons_PartialWorkers,Parte degli Impiegati,
CityEditor_InWorldIcons_PartialWaste,Troppi Rifiuti,
CityEditor_InWorldIcons_FullOfWaste,Rifiuti al completo,
CityEditor_InWorldIcons_FullStorage,Stoccaggio al completo,
CityEditor_InWorldIcons_Damaged,Danneggiato,
CityEditor_InWorldIcons_DrainingBattery,Consuma le batterie,
CityEditor_InWorldIcons_DrainingFuelTank,Serbatoi di Carburante in uso,
CityEditor_InWorldIcons_OutsideCommand,Fuori dal raggio di comando,
CityEditorBuilding_MainTitle,Costruzione Città,
CityEditorBuilding_ConfirmResearch,Confermi?,
CityEditorBuildingTooltip_ConstructionCost,Risorse richieste:,
CityEditorBuildingCategory_Ruins_Name,Rovine,
CityEditorBuildingCategory_Ruins_Description,Azioni relative alle Rovine.,
CityEditorBuildingCategory_power_Name,Alimentazione,
CityEditorBuildingCategory_power_Description,Edifici che alimentano la tua Città.,
CityEditorBuildingCategory_production_Name,Produzione,
CityEditorBuildingCategory_production_Description,Edifici che migliorano l'economia della tua Corporazione.,
CityEditorBuildingCategory_people_Name,Popolazione,
CityEditorBuildingCategory_people_Description,Edifici che migliorano i tuoi [citizens] e [employees].,
CityEditorBuildingCategory_command_Name,Militare,
CityEditorBuildingCategory_command_Description,Edifici relativi al combattimento e alla tecnologia,
CityEditorBuildingCategory_council_Name,Consiglio,
CityEditorBuildingCategory_council_Description,Edifici per migliorare le relazioni con il Consiglio.,
CityEditor_BuildingTooltip_OtherRequirements,Altri requisiti:,
CityEditor_BuildingTooltip_PAXFlakCannonPower,Devi avere un *Generatore d'Energia*.,
CityEditor_LockedForPAX,Prossimamente in *Early Access*.,
CityEditor_PAXXMLLockReason_MINE,Devi ricercare *Operazioni minerarie*.\n\n(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_MONUMENT,Devi migliorare le relazioni con il *Consiglio*.\n\n(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_STORE,(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_CLUB,(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_HOSPITAL,(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_PARK,(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_FARM,(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_ROAD,(Non è possibile nella Demo Build),
CityEditor_PAXXMLLockReason_TRANSPORT HUB,(Non è possibile nella Demo Build),
"CityEditor_PAXXMLLockReason_SHIPYARD""(Not possible in Demo Build)""",,
"CityEditor_PAXXMLLockReason_RESEARCH CENTER""(Not possible in Demo Build)""",,
"CityEditor_PAXXMLLockReason_PLAYERCOUNCIL""(Not possible in Demo Build)""",,
CityEditor_Building_TogglePower_Label,Attivato,
CityEditor_Building_TogglePower_DisabledLabel,Disattivato,
CityEditor_Building_TogglePower_Tooltip,Attiva o disattiva questo Edificio.,
CityEditor_Device_TogglePower_Tooltip,Attiva o disattiva questo Dispositivo.,
CityEditor_ShipPopup_InCombat,Nave in combattimento!,
CityEditor_ShipPopup_EnterShipButtonLabel,Entra nella Nave,
CityEditor_ShipPopup_EnterShipInCombatButtonLabel,Vedi combattimento Nave,
CityEditor_ShipPopup_MoveShipOrder,RMB per muovere,
CityEditor_BuildingTooltip_GeneratesWasteWarning,Genera Rifiuti.,
CityEditor_BuildingTooltip_GeneratesWastePerFormatWarning,Genera {Amount} Rifiuti per residente ogni {Time}.,
CityEditor_BuildingTooltip_GeneratesPollutionWarning,Genera inquinamento,
CityEditor_BuildingTooltip_CanConnect,Può connettersi.,
Building_EMPTY_Name,"{Count}|plural(one=Lotto vuoto,other=Lotti vuoti)",
Building_EMPTY_Description,"Il terreno è libero dai rottami, rendendolo *ideale per la costruzione*.",
Building_BUILDABLE_Name,Lotto vuoto,
Building_BUILDABLE_Description,"Il terreno è libero dai rottami, rendendolo *ideale per la costruzione*.",
Building_GROUND_Name,"{Count}|plural(one=Lotto vuoto,other=Lotti vuoti)",
Building_GROUND_Description,Uno spazio vuoto pronto per la costruzione.,
Building_POWER PLANT_Name,"{Count}|plural(one=Centrale energetica,other=Centrali energetiche)",
Building_POWER PLANT_Description,Converte [fuel] in [energy] utilizzabile con i Piloni d'Energia.,
Building_POWER PLANT_Flavor,"_Usando l'antica tecnologia di *-classificato-*, le Centrali energetiche producono enormi quantità di Energia. Purtroppo questo causa *-classificato-*_.",
Building_PYLON_Name,"{Count}|plural(one=Pilone d'Energia,other=Piloni d'Energia)",
Building_PYLON_Description,Alimenta gli Edifici trasmettendo [energy] dalle Centrali energetiche. Impossibile connettere.,
Building_MINE_Name,"{Count}|plural(one=Miniera,other=Miniere)",
Building_MINE_Description,Si collega ai *Nodi Risorse* per estrarre le risorse. *Non funziona con i Campi di Risorse*.,
Building_MINE_Flavor,_I nuovi arrivati di Titano possono trovare lavoro nei *caldi e confortevoli* tunnel minerari._,
Building_RESOURCE_PATCH_Name,"{Count}|plural(one=Campo di Risorse,other=Campi di Risorse)",
Building_RESOURCE_PATCH_Description,Contiene [minerals] o [isotopes].,
Building_RESOURCE_PATCH_Flavor,_I Minerali sono gustosi_,
Building_FACTORY_Name,"{Count}|plural(one=Fabbrica,other=Fabbriche)",
Building_FACTORY_Description,Ampio spazio per i *Dispositivi*. *Può essere connessa* per ottenere altra superfice.,
Building_FACTORY_Flavor,_Le Fabbriche sono dove le vaste Risorse sottoterra di Titano vengono trasformate in *utili Dispositivi*._,
Building_SMOKESTACK_Name,"{Count}|plural(one=Inceneritore,other=Inceneritori)",
Building_SMOKESTACK_Description,"Brucia velocemente i *Rifiuti*, rilasciando dei gas che possono nuocere ai *Cittadini* non protetti.",
Building_SMOKESTACK_Flavor,_La produttività degli Impiegati aumenta estraendo i gas tossici e *trasportandoli al sicuro nerll'ambiente*._,
Building_SHIPYARD_Name,"{Count}|plural(one=Cantiere,other=Cantieri)",
Building_SHIPYARD_Description,Allows for the design and production of flying *combat vessels*.,
Building_SHIPYARD_Flavor,_Ships originally designed for *transporting ore* proved just as effective at *delivering death* to corporate rivals._,
Building_SHIPYARD_EmptyPlot_Name,"{Count}|plural(one=Lotto vacante,other=Lotti vacanti)",
Building_SHIPYARD_EmptyPlot_Description,Uno spazio vuoto *pronto per la costruzione*.,
Building_SHIPYARD_EmptyPlot_Flavor,_Il *terreno* è *l'unico bene che non può essere prodotto* o importato su Titano._,
Building_FARM_Name,"{Count}|plural(one=Fattoria,other=Fattorie)",
Building_FARM_Description,Coltiva *cibo* per nutrire i [citizens] che insistono nel voler mangiare.,
